Sentiment;Created at;Text;Hashtags
neutral;21.07.2016 08:38;  after waiting over an hour spoke with a lovely sw customer service rep and back on track to get to SDCC2016;[{u'indices': [129, 138], u'text': u'SDCC2016'}]
negativ;21.07.2016 08:41;  for Emma : How was it to play such a bitchy character ? ScreamQueens SDCC xx;[{u'indices': [73, 86], u'text': u'ScreamQueens'}, {u'indices': [87, 92], u'text': u'SDCC'}]
positiv;21.07.2016 08:40;  For Emma: Favorite chanel outfit ? ScreamQueens SDCC ;[{u'indices': [63, 76], u'text': u'ScreamQueens'}, {u'indices': [77, 82], u'text': u'SDCC'}]
positiv;21.07.2016 08:38;  For Jaimie : What was your favourite investigation in the first season? Blindspot SDCC :);[{u'indices': [88, 98], u'text': u'Blindspot'}, {u'indices': [99, 104], u'text': u'SDCC'}]
neutral;21.07.2016 08:42;  for Jamie: there is any possibility to make a movie with Jake Gyllenhaal ? SDCC ScreamQueens :)));[{u'indices': [92, 97], u'text': u'SDCC'}, {u'indices': [98, 111], u'text': u'ScreamQueens'}]
neutral;21.07.2016 08:36; Close Ups. TMNT 1990 SDCC NECA ;[{u'indices': [20, 25], u'text': u'TMNT'}, {u'indices': [31, 36], u'text': u'SDCC'}, {u'indices': [37, 42], u'text': u'NECA'}]
neutral;21.07.2016 08:45; do you know when the SDCC pop vinyls will be live on your website or might be in stores thank you;[]
neutral;21.07.2016 08:42; flight just got canceled by southwest to get to SDCC.  If I make it there, wanna have a drink with a defiant listener?;[]
positiv;21.07.2016 08:38; For Jaimie : What was your favourite investigation in the first season? Blindspot SDCC xx;[{u'indices': [87, 97], u'text': u'Blindspot'}, {u'indices': [98, 103], u'text': u'SDCC'}]
neutral;21.07.2016 08:50; Gonna be the blackest SDCC EVAH!!;[]
negativ;21.07.2016 08:38; I can only think of two situations where that'd be to my benefit and SDCC aint one of them.;[]
positiv;21.07.2016 08:47;" I'm staff  SDCC &amp; my only chance to see you is your last signing at 10am before my shift. Where is the DC booth? Ill go early(:";[]
neutral;21.07.2016 08:36; Morning T/C.Ur SDCC T/C website u need a map and a compass to find how 2 share to F/B or TwT ur vidios.Thank goodness 4 Y/Tube...;[]
neutral;21.07.2016 08:43; MTVHottest Lady Gaga;[{u'indices': [24, 35], u'text': u'MTVHottest'}]
neutral;21.07.2016 08:41; straight focused. SDCC2016 1AM ;[{u'indices': [29, 38], u'text': u'SDCC2016'}, {u'indices': [39, 43], u'text': u'1AM'}]
positiv;21.07.2016 08:41;" that's a reason sdcc can be so fun I was walking &amp; having fun with the guys from  last year";[{u'indices': [25, 30], u'text': u'sdcc'}]
positiv;21.07.2016 08:34;" We miss you here Ruby! And  and  too! 
SDCC";[{u'indices': [84, 89], u'text': u'SDCC'}]
neutral;21.07.2016 08:49; Will the Sex Bo-bomb 3-pack be available online or in stores? The  blog says it should be ;[]
positiv;21.07.2016 08:40; x For Emma: Favorite chanel outfit ? ScreamQueens SDCC;[{u'indices': [49, 62], u'text': u'ScreamQueens'}, {u'indices': [63, 68], u'text': u'SDCC'}]
neutral;21.07.2016 08:42; You ever consider doing a GoFundMe to get to next years SDCC?;[]
neutral;21.07.2016 08:46;"""You are the Rosa Parks of rolling papers!""  referring to 
SDCC";[{u'indices': [83, 88], u'text': u'SDCC'}]
neutral;21.07.2016 08:41;*drops mic* ;[]
neutral;21.07.2016 08:45;.  and   are teaming with   and   on SDCC2016 activations  ;[{u'indices': [70, 79], u'text': u'SDCC2016'}]
neutral;21.07.2016 08:51;[SDCC 2016]  Mezco: One:12 Collective Marvel ;[]
neutral;21.07.2016 08:38;[SDCC 2016] Mezco Toys: One:12 Collective DC Comics ;[]
neutral;21.07.2016 08:37;A closeup of The Jokers outfit on display at SDCC Batman tights? ;[{u'indices': [45, 50], u'text': u'SDCC'}]
neutral;21.07.2016 08:51;aka me sitting on tweetdeck with no pants and a large box of goldfish all of Friday and Saturday  ;[]
negativ;21.07.2016 08:40;"Another year goes by &amp; you still can't go to SDCC ";[{u'indices': [49, 54], u'text': u'SDCC'}]
positiv;21.07.2016 08:35;Anyone who is going sdcc this week I wish I was you;[]
neutral;21.07.2016 08:37;"Are they reprinting Snake &amp; Sonic??? ";[]
neutral;21.07.2016 08:43;Bluefin Exclusive Broly SDCC 2016 Comic Con Dragonball Z S.H. Figuarts In hand  StarWars ;[{u'indices': [103, 112], u'text': u'StarWars'}]
positiv;21.07.2016 08:45;"Chilling with  &amp;  sdcc  Hotel Salomar Pool Bar ";[{u'indices': [46, 51], u'text': u'sdcc'}]
negativ;21.07.2016 08:49;Current mood: depressed because not at SDCC;[{u'indices': [39, 44], u'text': u'SDCC'}]
neutral;21.07.2016 08:38;Dapper Chris Pine's Costume from Wonder Woman SDCC ;[{u'indices': [46, 51], u'text': u'SDCC'}]
positiv;21.07.2016 08:51;"Day 80/80:  SDCC is here!!!!! Met my personal motivators today   &amp;  TY all for pushing us to get SDCCfit";[{u'indices': [12, 17], u'text': u'SDCC'}, {u'indices': [135, 143], u'text': u'SDCCfit'}]
neutral;21.07.2016 08:40;Dead-Pool Blu-Ray SDCC 2016 exclusive SIGNED by RyanReynolds! New!  Collectible Buzz ;[{u'indices': [48, 61], u'text': u'RyanReynolds'}, {u'indices': [92, 104], u'text': u'Collectible'}, {u'indices': [105, 110], u'text': u'Buzz'}]
neutral;21.07.2016 08:38;destructoid: SDCC 2016: Good Smile Company  (via Tomopop)  StreamAlearts;[{u'indices': [106, 120], u'text': u'StreamAlearts'}]
neutral;21.07.2016 08:36;DoctorStrange Trailer Featuring BenedictCumberbatch at the Marvel Booth SDCC ;[{u'indices': [0, 14], u'text': u'DoctorStrange'}, {u'indices': [33, 53], u'text': u'BenedictCumberbatch'}, {u'indices': [74, 79], u'text': u'SDCC'}]
neutral;21.07.2016 08:41;Enormously bummed to miss out on SDCC2016 this year but glad to see posts showing amazing previews and new art.;[{u'indices': [33, 42], u'text': u'SDCC2016'}]
positiv;21.07.2016 08:48;Finally met my con unicorn  Seen him at many SoCal cons but never had the courage to say hi until GameOfBloggers SDCC. TY!;[{u'indices': [114, 129], u'text': u'GameOfBloggers'}, {u'indices': [130, 135], u'text': u'SDCC'}]
neutral;21.07.2016 08:51;Fireworks For Star Trek Beyond At Comic Con SDCC ;[{u'indices': [44, 49], u'text': u'SDCC'}]
neutral;21.07.2016 08:34;Fireworks For Star Trek Beyond At Comic Con SDCC  news;[{u'indices': [44, 49], u'text': u'SDCC'}, {u'indices': [74, 79], u'text': u'news'}]
positiv;21.07.2016 08:39;For Emma: Favorite chanel outfit ? ScreamQueens SDCC xx;[{u'indices': [35, 48], u'text': u'ScreamQueens'}, {u'indices': [49, 54], u'text': u'SDCC'}]
positiv;21.07.2016 08:39;For Jaimie : What was your favourite investigation in the first season? Blindspot SDCC :/);[{u'indices': [72, 82], u'text': u'Blindspot'}, {u'indices': [83, 88], u'text': u'SDCC'}]
neutral;21.07.2016 08:42;for Jamie: there is any possibility to make a movie with Jake Gyllenhaal ? SDCC ScreamQueens :);[{u'indices': [75, 80], u'text': u'SDCC'}, {u'indices': [81, 94], u'text': u'ScreamQueens'}]
positiv;21.07.2016 08:45;fuck yeah ;[]
neutral;21.07.2016 08:38;Funko Pop! Exclusive Pharah Overwatch 95 Blizzard Exclusive SDCC Vinyl In hand  ;[]
negativ;21.07.2016 08:40;Going to have to wait almost 12 hours ahead for any SDCC2016 news from Greece.;[{u'indices': [52, 61], u'text': u'SDCC2016'}]
positiv;21.07.2016 08:48;Got a poster signed during previewnightsdcc sdcc2016 dccomics ;[{u'indices': [27, 44], u'text': u'previewnightsdcc'}, {u'indices': [45, 54], u'text': u'sdcc2016'}, {u'indices': [55, 64], u'text': u'dccomics'}]
neutral;21.07.2016 08:41;Hasbro Exclusive Star Wars Black Series Obi Wan Kenobi Figure SDCC 2016 ;[]
neutral;21.07.2016 08:41;Hasbro Star Wars Black Series OBI-WAN KENOBI Pack 2016 SDCC COMIC CON Exclusive ;[]
positiv;21.07.2016 08:34;Have become the coolest version of myself thanks to my new hat HEY THANKS GameOfThrones (cc: SDCC/Conival) ;[{u'indices': [74, 88], u'text': u'GameOfThrones'}, {u'indices': [94, 99], u'text': u'SDCC'}, {u'indices': [100, 108], u'text': u'Conival'}]
neutral;21.07.2016 08:50;Have questions for the100? Ask here sdcc2016    ;[{u'indices': [19, 26], u'text': u'the100'}, {u'indices': [37, 46], u'text': u'sdcc2016'}]
neutral;21.07.2016 08:44;Hey everyone, sorry about the delay in uploads lately. I've been compiling all of the LEGODimensions news for a massive SDCC News Update.;[{u'indices': [86, 101], u'text': u'LEGODimensions'}]
negativ;21.07.2016 08:39;Hotel mate has sleep apnea. Having flashbacks. He's not even in bed now, but I hesitate to get comfortable. Send help. SDCC;[{u'indices': [119, 124], u'text': u'SDCC'}]
