neutral;19.07.2016 09:21;   will there be a trailer for Arrow S5 this year at SDCC ?!?;[{u'indices': [71, 77], u'text': u'Arrow'}, {u'indices': [94, 99], u'text': u'SDCC'}]
negativ;19.07.2016 10:15;   Yep. He's definitely at SDCC. Biggest stage to pimp his shit show now.;[]
positiv;19.07.2016 09:45;  Can't wait to hear wtf Jatan says at SDCC. Perfect venue for him to add to the bait lowered down at DD Con.;[]
neutral;19.07.2016 09:27;  I can see it. Things to ask him should be be at sdcc;[{u'indices': [78, 83], u'text': u'sdcc'}]
positiv;19.07.2016 09:20; (Schneider Ngoma) - SDCC Release soon... Don't miss this one! ;[{u'indices': [30, 35], u'text': u'SDCC'}]
neutral;19.07.2016 10:06; can you ask in the TVD press at SDCC if Steroline will have any ride in Stefan's motorbike next season? thanks!;[]
neutral;19.07.2016 10:02; could you ask at SDCC, in the TVD press, if Stefan can dress up as Santa Claus for Caroline's twins? Thank you;[]
neutral;19.07.2016 10:06; could you ask if Steroline will ever have a snow kiss if you interview the TVD cast and crew at SDCC? Thank you!;[]
neutral;19.07.2016 10:07; could you ask the TVD cast and Julie about the Steroline June wedding at SDCC?;[]
neutral;19.07.2016 09:55; Flash WBSDCC SDCC;[{u'indices': [20, 27], u'text': u'WBSDCC'}, {u'indices': [28, 33], u'text': u'SDCC'}]
neutral;19.07.2016 10:02; hi! Are you covering TVD press at SDCC? Could you ask if a Steroline June wedding and a proposal at the cabin is possible?;[]
neutral;19.07.2016 10:06; hi! If you cover TVD at SDCC, could you ask if we'll see Stefan taking Caroline to the falls someday? thanks!;[]
neutral;19.07.2016 10:01; hi! Please ask Paul/ Candice/Julie at SDCC about any Steroline scene coming up in the first episodes of TVD S8;[]
negativ;19.07.2016 10:08;" I feel ya, AND get no sleep for the next week :/ 
But.....it's worth it!! sdcc2016 ";[{u'indices': [89, 98], u'text': u'sdcc2016'}]
neutral;19.07.2016 10:02; if you cover TVD press at SDCC, can you ask if we'll ever see Steroline watching The Notebook or Friends please? haha;[]
neutral;19.07.2016 09:32; I'm trying to find a little more info about the deadpool Blu-ray at sdcc, mostly price and any special restrictions or lines.;[]
negativ;19.07.2016 09:59; LMAO MEEEEEEEE i had to finally get off my ass to unpack cause i have to pack to go down to sd for comic con (but not rly sdcc);[]
neutral;19.07.2016 09:25; Martin, where did you get the inspiration for Jane's character and why did you choose Jaimie for the role?SDCC Blindspot;[{u'indices': [121, 126], u'text': u'SDCC'}, {u'indices': [127, 137], u'text': u'Blindspot'}]
neutral;19.07.2016 10:14; over to SDCC;[]
neutral;19.07.2016 10:04; please ask about the SterolineJuneWedding at SDCC if you interview TVD cast and crew!;[{u'indices': [37, 58], u'text': u'SterolineJuneWedding'}]
positiv;19.07.2016 09:49; Ready for SDCC?! Can't wait to see you!;[]
neutral;19.07.2016 09:56; SDCC shirt? I think so although they may have required pre-order. I will investigate for you!;[]
positiv;19.07.2016 10:04; SDCC TMNT brilliant yes please - kids would love these Rted ;[{u'indices': [10, 15], u'text': u'SDCC'}, {u'indices': [16, 21], u'text': u'TMNT'}]
neutral;19.07.2016 10:30; the Joker might be saying something there ;[]
positiv;19.07.2016 10:00; the SDCC is a whole new world - so.... DUH!;[]
positiv;19.07.2016 09:22; this is so EXCITING! DCTV;[{u'indices': [45, 50], u'text': u'DCTV'}]
neutral;19.07.2016 09:37;" Well if you HAD been... please amend your initial tweet with track no and timestamp.

Endure SDCC. Talk when you resurface?";[]
neutral;19.07.2016 09:59; what days are you gonna be at SDCC;[]
neutral;19.07.2016 10:31; Wish I was going to SDCC so we could hang.;[]
neutral;19.07.2016 10:18;[NEWS E ANTEPRIME] TOYNAMI: STEALTH VOLTRON EX. SDCC 2016 ;[]
neutral;19.07.2016 09:35;[Promobricks] SDCC 2016: Ray Palmer alias The Atom LEGO Minifigur vorgestellt  BrickRSS LEGO;[{u'indices': [102, 111], u'text': u'BrickRSS'}, {u'indices': [112, 117], u'text': u'LEGO'}]
positiv;19.07.2016 09:54;Adding little details to the axe earlier today! Taking a 5hour nap then it's back to work for SDCC!! ONE MORE DAY ;[]
positiv;19.07.2016 09:53;Almost flight time. SDCC, here I come!;[]
neutral;19.07.2016 09:39;and the journey begins to sdcc  currently at Manchester Airport ;[{u'indices': [26, 31], u'text': u'sdcc'}]
neutral;19.07.2016 09:22;Andrea Roth  Entertainment Weeklys SDCC 2015 Celebration  AndreaRoth;[{u'indices': [81, 92], u'text': u'AndreaRoth'}]
negativ;19.07.2016 10:04;Another year another SDCC I can't attend.;[]
positiv;19.07.2016 09:32;At the airport heading to sdcc im so ready. SDCC2016;[{u'indices': [44, 53], u'text': u'SDCC2016'}]
negativ;19.07.2016 09:27;BITCH!!!!! ;[]
neutral;19.07.2016 09:22;Boarding a plane on my way to LA then on to SDCC2016;[{u'indices': [44, 53], u'text': u'SDCC2016'}]
neutral;19.07.2016 10:01;BRUH ;[]
positiv;19.07.2016 10:22;By the power of Grayskull!! Childhoodnostalgia Heman ;[{u'indices': [28, 47], u'text': u'Childhoodnostalgia'}, {u'indices': [48, 54], u'text': u'Heman'}]
neutral;19.07.2016 10:03;Calm before the storm. sdcc2016 sandiego ;[{u'indices': [23, 32], u'text': u'sdcc2016'}, {u'indices': [33, 42], u'text': u'sandiego'}]
negativ;19.07.2016 10:28;cant believe ill be missing out on this year's sdcc :-((;[]
negativ;19.07.2016 10:15;Complimentary second bag check for the win. Especially when it's probably overweight and oversized.... flying SDCC;[{u'indices': [103, 110], u'text': u'flying'}, {u'indices': [111, 116], u'text': u'SDCC'}]
negativ;19.07.2016 09:33;Couldn't sleep for shit insomnia and excitement got to me. Was up planning a budget and I'm sure it won't happen. SDCC SDCC2016;[{u'indices': [114, 119], u'text': u'SDCC'}, {u'indices': [120, 129], u'text': u'SDCC2016'}]
neutral;19.07.2016 10:21;'DC Comics Lil' Bombshells' From Cryptozoic on Sale at SDCC -  ;[]
neutral;19.07.2016 09:44;Erin Richards - Gotham Press Line During SDCC 2015  ErinRichards;[{u'indices': [75, 88], u'text': u'ErinRichards'}]
neutral;19.07.2016 09:23;"Exclusive CaptainAmerica The First Avenger &amp; AntMan posters  at SDCC this week.  ";[{u'indices': [10, 25], u'text': u'CaptainAmerica'}, {u'indices': [50, 57], u'text': u'AntMan'}, {u'indices': [70, 75], u'text': u'SDCC'}]
negativ;19.07.2016 10:29;Finally boarding my first flight to SDCC. Btw, did I mention I hate flying? *deep breath* It'll be ok. ;[{u'indices': [36, 41], u'text': u'SDCC'}]
neutral;19.07.2016 10:14;Futurama Robot Santa Bender 2  Action Figures Two Pack Comic Con 08 SDCC   futurama;[{u'indices': [98, 107], u'text': u'futurama'}]
neutral;19.07.2016 09:26;GeofDarrow x ThreeA in 2017! LTD Edition Poster available at SDCC Booth 734. Details:  ;[{u'indices': [0, 11], u'text': u'GeofDarrow'}, {u'indices': [14, 21], u'text': u'ThreeA'}, {u'indices': [63, 68], u'text': u'SDCC'}]
positiv;19.07.2016 10:32;Gorgeous! ;[]
neutral;19.07.2016 09:57;HarleyQuinn Invades SDCC 1 CGC 9.8 SS Blue RRP Sketch Variant Lot Signed 2014  ;[{u'indices': [0, 12], u'text': u'HarleyQuinn'}, {u'indices': [21, 26], u'text': u'SDCC'}]
neutral;19.07.2016 09:56;HE-MAN Masters of the Universe 1 Philip Tan Signed SDCC Sketch Variant 2012 MOTU  ;[{u'indices': [51, 56], u'text': u'SDCC'}]
neutral;19.07.2016 10:15;Hey  ha! ;[]
neutral;19.07.2016 09:56;"Hey Mike  this is what you need to be looking out for if you get to SDCC2016 &amp; say hi to Mr S from me! ";[{u'indices': [81, 90], u'text': u'SDCC2016'}]
neutral;19.07.2016 09:20;Hey, this year I'm going to SDCC! I have no table, but I'll sign at Marvel booth on Thursday 2:00-2:45 PM. Who's coming?;[]
neutral;19.07.2016 09:29;i claim  ;[]
positiv;19.07.2016 10:04;I entered to win an  SDCC prize pack! You can too: ;[{u'indices': [31, 36], u'text': u'SDCC'}]
negativ;19.07.2016 09:53;"I hate that I let SDCC get to me. I'm hoping that the camp I used to go to is no longer saying ""We can't allow a girl to join the boys trip""";[]
negativ;19.07.2016 10:23;I have no clue what I'm wearing to SDCC. Halp.;[]
neutral;19.07.2016 10:19;"ICYMI:  Green Arrow, Flash &amp; Supergirl to Appear on Conan at SDCC  ";[]
neutral;19.07.2016 10:19;"ICYMI: ICYMI:  Green Arrow, Flash &amp; Supergirl to Appear on Conan at SDCC  ";[]
neutral;19.07.2016 10:13;if you think i'm not going to watch the '66 Batman movie in order to prepare for sdcc, you're a fool.;[]
neutral;19.07.2016 09:27;"I'm at SDCC.
Life's great.
I saw the Justice League panel.
Entire cast was there.
It finishes and Zack Snyder walks up to the mic &amp; says:";[]
positiv;19.07.2016 09:23;"I'm excited to attend ""MTV Teen Wolf"" at Comic-Con 2016. Come with me?   SDCC";[{u'indices': [106, 111], u'text': u'SDCC'}]
positiv;19.07.2016 09:23;IM READY ;[]
positiv;19.07.2016 10:15;Intermediate group spin tonight at 7 at SDCC as usual, approx 50 km at steady pace, all welcome;[]
neutral;19.07.2016 10:00;Join us at SDCC this week for a number of special events with special guest Tsutomu Nihei (creator of BLAME! and... ;[]
neutral;19.07.2016 09:48;July 19, 2016 at 05:48AM  at Comic Con SDCC 7th Year as press  ;[{u'indices': [62, 67], u'text': u'SDCC'}]
neutral;19.07.2016 10:03;Leg one of my journey to SDCC2016 begins! Just got picked up by the car taking me to the airport;[{u'indices': [25, 34], u'text': u'SDCC2016'}]
neutral;19.07.2016 10:24;Lego SDCC DC Comics Ray Palmer ? The Atom ? Minifigure Exclusive is confirmend [Minifig Price Guide]  Lego;[{u'indices': [125, 130], u'text': u'Lego'}]
positiv;19.07.2016 10:02;Let's be friends at SDCC! Small press N-2! We have free things!sdcc sdcc2016 getN2it ;[{u'indices': [63, 68], u'text': u'sdcc'}, {u'indices': [69, 78], u'text': u'sdcc2016'}, {u'indices': [79, 87], u'text': u'getN2it'}]
neutral;19.07.2016 10:32;Magic of Myths (and that opportunist SkyJack) hit San Diego Comic Con! ;[]
neutral;19.07.2016 09:28;"Midnight Oil.
Wrapped SDCC commission. Aeon Flux. ";[]
neutral;19.07.2016 10:06;Mommy packs for SDCC. Catwoman catwomancosplay reevzfx mybitchykitty luna ;[{u'indices': [16, 21], u'text': u'SDCC'}, {u'indices': [23, 32], u'text': u'Catwoman'}, {u'indices': [33, 49], u'text': u'catwomancosplay'}, {u'indices': [50, 58], u'text': u'reevzfx'}, {u'indices': [59, 73], u'text': u'mybitchykitty'}, {u'indices': [74, 79], u'text': u'luna'}]
neutral;19.07.2016 09:58;Moose makes SDCC debut with Golden Jessicake ;[]
positiv;19.07.2016 09:27;morrilla selfie at sdcc is everything I need right now;[]
